Publication,Editor/Contact,Email,Twitter,Website,Focus,Status,Notes
Legaltech News,Editor Unknown,editorial@legaltechnews.com,@legaltechnews,legaltechnews.com,Legal tech & AI,pending,"Research editor name and direct email"
Above the Law,Editor Unknown,tips@abovethelaw.com,@abovethelaw,abovethelaw.com,Legal industry,pending,"Submit as news tip"
Law.com,Editor Unknown,editorial@law.com,@law,law.com,Legal industry news,pending,"Contact legal tech reporter"
Substack: AI & Law Newsletter,Unknown,research,aiandlaw.substack.com,AI in legal practice,pending,"Search Substack for AI & law creators"
LinkedIn: Legaltech Writers,Various,DM,Various,linkedin.com,Industry insights,ready,"Direct message legaltech writers about sanctions tracker"
Damien Charlotin (AI Sanctions Researcher),Damien Charlotin,research,@dcharlotin,dcharlotin.org,AI hallucinations in law,ready,"He maintains the AI sanctions database - high authority"
The Verge (Tech Section),Editor Unknown,tips@theverge.com,@theverge,theverge.com,Tech news,pending,"Unlikely but AI in law is trending"
ALM Events (Conference Coverage),Unknown,info@alm.com,@ALM_Events,alm.com,Legal events & trends,pending,"Look for AI in law conference coverage"
Legal Insurrection,Editor Unknown,contact@legalinsurrection.com,@LegalInsurrect,legalinsurrection.com,Legal commentary,pending,"Conservative legal blog, AI governance angle"
Thomson Reuters Legal (AI Hub),Unknown,legal@thomsonreuters.com,@TRLegal,legal.thomsonreuters.com,Legal tech news,pending,"Professional services angle - law firm AI governance"
